question,answer
ツイステッドワンダーランドの学園名は？,ナイトレイブンカレッジです。
ディズニー作品の中でツイステはどの作品をモチーフにしている？,ヴィランズがモチーフだよ。
監督生はどの寮に所属している？,寮には所属してなく、昔使われていたボロボロの寮、略して「オンボロ寮」に住んでいるよ。
ハーツラビュル寮のモチーフは？,『不思議の国のアリス』だよ。
サバナクロー寮のモチーフは？,『ライオン・キング』だよ。
オクタヴィネル寮のモチーフは？,『リトル・マーメイド』だよ。
スカラビア寮のモチーフは？,『アラジン』だよ。
ポムフィオーレ寮のモチーフは？,『白雪姫』だよ。
イグニハイド寮のモチーフは？,『ヘラクレス』だよ。
ディアソムニア寮のモチーフは？,『眠れる森の美女』だよ。
ツイステはどんなゲーム？,ツイステとは、ディズニーに登場するヴィランズ（悪役）キャラクター達と織りなす、ヴィランズ学園アドベンチャーゲームのこと。
ツイステッドワンダーランドって何？,ツイステッドワンダーランドは、ディズニーのヴィランズをテーマにした学園ファンタジーゲームだよ。
どんなキャラクターが登場するの？,主にディズニーヴィランズを元にしたキャラクターが登場するよ。
このゲームの目的は何ですか？,学園生活を送りながら、ストーリーを進めてミッションをクリアすることだよ。
ストーリーの設定はどんな感じ？,異世界の魔法学園「ナイトレイブンカレッジ」での学生生活が舞台だよ。
魔法は使えるの？,ゲーム内のキャラクターたちは魔法を使えますが、プレイヤーの主人公（監督生）は魔法が使えないよ。
主人公はどんなキャラクターですか？,主人公は異世界から召喚された普通の人間で、魔法を使えないキャラクターだよ。
グリムって誰？,グリムは、火を吹く小さなモンスターで、主人公と一緒に冒険する相棒だよ。
どのプラットフォームで遊べる？,iOSやAndroidのスマートフォンでプレイできるよ。
課金要素はありますか？,無料でプレイできますが、アイテムやカードの購入などに課金要素があるよ。
ナイトレイブンカレッジにはいくつの寮があるの？,学園には7つの寮があり、それぞれ異なるディズニーヴィランズがモチーフになってるよ。
学園の寮はどうやって決まるの？,魔法の鏡が生徒を各寮に振り分けるよ。
戦闘システムはどんな感じですか？,ターン制バトルを使い、カードを使って魔法を発動するよ。
リズミックって何？,リズミックは、ゲーム内で音楽に合わせてボタンを押すリズムゲーム要素だよ。
キャラクター同士の関係はどうなっていますか？,ヴィランズらしい関係性だよ。
寮はどのディズニーキャラクターをモチーフにしているの？,ハーツラビュルはハートの女王、サバナクローはスカー、オクタヴィネルはアースラなどがモチーフだよ。
プレイヤーの選択肢はストーリーに影響するの？,一部の選択肢がキャラクターの反応に影響を与えることがあるけど、ストーリー自体には大きな影響はないよ。
ストーリーは一話完結型？,ストーリーは連続して進行し、各章ごとに新しいエピソードが展開されるよ。
ゲームの更新頻度はどのくらい？,新しい章やイベントが定期的に追加されるよ。
ゲーム内でキャラクターを強化する方法は？,授業を受けたり、アイテムを使用してキャラクターを強化できるよ。
どのキャラクターを育てるべき？,自分の好きなキャラクターやバトルで有利なキャラクターを育てるのがおすすめだよ。
どんなイベントがあるの？,季節ごとの特別イベントや限定キャラクターのピックアップイベントがありるよ。
どのイベントがオススメ？,ハロウィンイベントが最もおすすめだよ。
ゲーム内の通貨は何？,ゲーム内では「マドル」と呼ばれる通貨を使用してアイテムを購入できるよ。
「ツイステッドワンダーランド」はどんなジャンルのゲームですか？,魔法学園を舞台にしたアドベンチャーRPGだよ。
ディズニーキャラクターは出てきますか？,キャラクターの元はディズニーのヴィランズですが、オリジナルのキャラクターとして登場するよ。
プレイヤーはどのキャラクターを操作しますか？,プレイヤーは操作キャラではなく、ストーリーを進めるナビゲーターとしての役割だよ。
「ナイトレイブンカレッジ」とは何ですか？,ゲーム内で魔法を学ぶ学園で、ストーリーの中心となるよ。
どのようなプレイスタイルですか？,ストーリーを進めるアドベンチャーパートと、バトル・リズムゲームが組み合わさったスタイルだよ。
無料で遊べますか？,基本プレイは無料で、課金要素はあるよ。
ゲーム内の課金要素は何ですか？,キャラクターカードやアイテムの購入に課金が必要だよ。
ディズニー以外の要素もありますか？,主要キャラクターはディズニーのヴィランズが元になっていますが、オリジナルの設定が多く含まれるよ。
マルチプレイはできますか？,他のプレイヤーと直接遊ぶことはできませんが、フレンド機能でサポートできるよ。
ストーリーはどのくらいの長さですか？,現在は複数の章があり、随時新しいエピソードが追加されるよ。
キャラクターはどうやって強化しますか？,授業やバトルで経験値を貯め、アイテムでレベルを上げるよ。
初心者におすすめのキャラクターは？,強力な魔法を使えるキャラクターを早めに育てると良いよ。
イベントはどのくらいの頻度で行われますか？,季節ごとのイベントが定期的に開催され、新しいキャラやストーリーが登場するよ。
このゲームは何年から始まりましたか？,2020年にリリースされたよ。
寮の違いは何ですか？,寮ごとにモチーフとなったディズニーヴィランズや、キャラクターの個性が異なるよ。
バトルはどのように進行しますか？,バトルはターン制で、キャラクターの魔法を使って敵と戦うよ。
このゲームの魅力は何ですか？,魅力的なキャラクターやディープなストーリーが人気の理由だよ。
ストーリーをスキップすることはできますか？,一度読んだストーリーはスキップ可能だよ。
ゲームはどのように進行しますか？,ストーリーパート、バトル、リズムゲームを繰り返して進るよ。
アイテムの入手方法は？,ミッションの報酬や課金、イベントで手に入るよ。
ハーツラビュル寮長の名前は？,リドル・ローズハート
サバナクロー寮長の名前は？,レオナ・キングスカラー
オクタヴィネル寮長の名前は？,アズール・アーシェングロット
スカラビア寮長の名前は？,カリム・アルアジーム
ポムフィオーレ寮長の名前は？,ヴィル・シェーンハイト
イグニハイド寮長の名前は？,イデア・シュラウド
ディアソムニア寮長の名前は？,マレウス・ドラコニア
ツイステはどんなストーリーなの？,異世界から召喚された主人公（監督生）は、魔法が使えないにもかかわらず、この魔法士養成学校「ナイトレイブンカレッジ」に入学することに。そこで、学園の生徒と交流し、さもざまな事件を解決しながら元の世界に帰る方法を模索する・・・というストーリーになっています。
ナイトレイブンカレッジ（NRC)とは？,ツイステの賢者の島北部の丘にある魔法士養成学校。4年生の全寮制の男子校で、ツイステで偉人として語り継がれているグレート・セブンの精神に基づく７つの寮で構成されているよ。
７つの寮の名前は？,ハーツラビュル寮、サバナクロー寮、オクタヴィネル寮、スカラビア寮、ポムフィオーレ寮、イグニハイド寮、ディアソムニア寮
寮とは？,ツイステで偉人として語り継がれているグレート・セブンの精神に基づく７つの寮で構成されており、寮長と副寮長がいるよ。（副寮長はいない寮もある）
ハーツラビュル副寮長の名前は？,トレイ・クローバー
オクタヴィネル副寮長の名前は？,ジェイド・リーチ
